phrase,label,category
harare,LOCATION,zimbabwe_place
bulawayo,LOCATION,zimbabwe_place
mutare,LOCATION,zimbabwe_place
gweru,LOCATION,zimbabwe_place
masvingo,LOCATION,zimbabwe_place
kadoma,LOCATION,zimbabwe_place
chegutu,LOCATION,zimbabwe_place
marondera,LOCATION,zimbabwe_place
bindura,LOCATION,zimbabwe_place
kariba,LOCATION,zimbabwe_place
hwange,LOCATION,zimbabwe_place
victoria falls,LOCATION,zimbabwe_place
chinhoyi,LOCATION,zimbabwe_place
rusape,LOCATION,zimbabwe_place
beitbridge,LOCATION,zimbabwe_place
chiredzi,LOCATION,zimbabwe_place
kwekwe,LOCATION,zimbabwe_place
ruwa,LOCATION,zimbabwe_place
epworth,LOCATION,zimbabwe_place
mbare,LOCATION,zimbabwe_place
highfield,LOCATION,zimbabwe_place
waterfalls,LOCATION,zimbabwe_place
borrowdale,LOCATION,zimbabwe_place
glen view,LOCATION,zimbabwe_place
kuwadzana,LOCATION,zimbabwe_place
dzivarasekwa,LOCATION,zimbabwe_place
avondale,LOCATION,zimbabwe_place
westgate,LOCATION,zimbabwe_place
newlands,LOCATION,zimbabwe_place
samora machel avenue,ROAD,road_name
julius nyerere way,ROAD,road_name
simon muzenda street,ROAD,road_name
borrowdale road,ROAD,road_name
airport road,ROAD,road_name
harare-bulawayo highway,ROAD,road_name
mutare road,ROAD,road_name
mazowe road,ROAD,road_name
seke road,ROAD,road_name
lomagundi road,ROAD,road_name
bulawayo road,ROAD,road_name
enterprise road,ROAD,road_name
nemakonde way,ROAD,road_name
kombi,TRANSPORT,vehicle_transport
mushikashika,TRANSPORT,vehicle_transport
cross-border bus,TRANSPORT,vehicle_transport
haulage truck,TRANSPORT,vehicle_transport
articulated truck,TRANSPORT,vehicle_transport
tractor,TRANSPORT,vehicle_transport
trailer,TRANSPORT,vehicle_transport
sedan,TRANSPORT,vehicle_transport
hatchback,TRANSPORT,vehicle_transport
4x4,TRANSPORT,vehicle_transport
pickup truck,TRANSPORT,vehicle_transport
lorry,TRANSPORT,vehicle_transport
commuter omnibus,TRANSPORT,vehicle_transport
motorbike,TRANSPORT,vehicle_transport
bicycle,TRANSPORT,vehicle_transport
minibus,TRANSPORT,vehicle_transport
taxi,TRANSPORT,vehicle_transport
fuel tanker,TRANSPORT,vehicle_transport
delivery van,TRANSPORT,vehicle_transport
school bus,TRANSPORT,vehicle_transport
private vehicle,TRANSPORT,vehicle_transport
public transport,TRANSPORT,vehicle_transport
speeding,BEHAVIOUR,risk_behaviour
overspeeding,BEHAVIOUR,risk_behaviour
tailgating,BEHAVIOUR,risk_behaviour
reckless driving,BEHAVIOUR,risk_behaviour
drunk driving,BEHAVIOUR,risk_behaviour
distracted driving,BEHAVIOUR,risk_behaviour
dangerous overtaking,BEHAVIOUR,risk_behaviour
hit and run,BEHAVIOUR,risk_behaviour
fatigue,BEHAVIOUR,risk_behaviour
sleepy driving,BEHAVIOUR,risk_behaviour
texting while driving,BEHAVIOUR,risk_behaviour
brake failure,BEHAVIOUR,risk_behaviour
lane switching,BEHAVIOUR,risk_behaviour
night driving,BEHAVIOUR,risk_behaviour
failure to indicate,BEHAVIOUR,risk_behaviour
driving without headlights,BEHAVIOUR,risk_behaviour
using cellphone while driving,BEHAVIOUR,risk_behaviour
illegal u-turn,BEHAVIOUR,risk_behaviour
wrong overtaking,BEHAVIOUR,risk_behaviour
heavy rain,WEATHER,environment_condition
light rain,WEATHER,environment_condition
drizzle,WEATHER,environment_condition
foggy conditions,WEATHER,environment_condition
misty weather,WEATHER,environment_condition
poor visibility,WEATHER,environment_condition
wet road,WEATHER,environment_condition
slippery road,WEATHER,environment_condition
flooded road,WEATHER,environment_condition
dust storm,WEATHER,environment_condition
hailstorm,WEATHER,environment_condition
storm,WEATHER,environment_condition
strong winds,WEATHER,environment_condition
sun glare,WEATHER,environment_condition
potholes,WEATHER,environment_condition
loose gravel,WEATHER,environment_condition
sharp curve,WEATHER,environment_condition
damaged road surface,WEATHER,environment_condition
muddy road,WEATHER,environment_condition
oil spill on road,WEATHER,environment_condition
head-on collision,ACCIDENT_TERM,accident_description
rear-end collision,ACCIDENT_TERM,accident_description
side collision,ACCIDENT_TERM,accident_description
rollover accident,ACCIDENT_TERM,accident_description
vehicle overturned,ACCIDENT_TERM,accident_description
collision damage,ACCIDENT_TERM,accident_description
minor impact,ACCIDENT_TERM,accident_description
major impact,ACCIDENT_TERM,accident_description
fatal accident,ACCIDENT_TERM,accident_description
multiple vehicle collision,ACCIDENT_TERM,accident_description
pedestrian impact,ACCIDENT_TERM,accident_description
loss of control,ACCIDENT_TERM,accident_description
vehicle skidded,ACCIDENT_TERM,accident_description
brake malfunction,ACCIDENT_TERM,accident_description
tyre burst,ACCIDENT_TERM,accident_description
collision at intersection,ACCIDENT_TERM,accident_description
intersection crash,ACCIDENT_TERM,accident_description
chain collision,ACCIDENT_TERM,accident_description
third-party claim,CLAIM_TERM,insurance_jargon
claim settlement,CLAIM_TERM,insurance_jargon
premium loading,CLAIM_TERM,insurance_jargon
policyholder,CLAIM_TERM,insurance_jargon
write-off,CLAIM_TERM,insurance_jargon
excess payment,CLAIM_TERM,insurance_jargon
loss adjuster,CLAIM_TERM,insurance_jargon
fraudulent claim,CLAIM_TERM,insurance_jargon
insurance assessor,CLAIM_TERM,insurance_jargon
claim rejection,CLAIM_TERM,insurance_jargon
claim approval,CLAIM_TERM,insurance_jargon
insured vehicle,CLAIM_TERM,insurance_jargon
underwriting,CLAIM_TERM,insurance_jargon
risk profile,CLAIM_TERM,insurance_jargon
claim history,CLAIM_TERM,insurance_jargon
policy lapse,CLAIM_TERM,insurance_jargon
comprehensive cover,CLAIM_TERM,insurance_jargon
third-party insurance,CLAIM_TERM,insurance_jargon
claim notification,CLAIM_TERM,insurance_jargon
claim investigation,CLAIM_TERM,insurance_jargon
repair quotation,CLAIM_TERM,insurance_jargon
vehicle valuation,CLAIM_TERM,insurance_jargon
claim payout,CLAIM_TERM,insurance_jargon
accident benefit,CLAIM_TERM,insurance_jargon
claim form,CLAIM_TERM,insurance_jargon
insurance excess,CLAIM_TERM,insurance_jargon
serious injury,INJURY,injury_severity
minor injuries,INJURY,injury_severity
fatal injuries,INJURY,injury_severity
multiple fractures,INJURY,injury_severity
head injuries,INJURY,injury_severity
soft tissue injuries,INJURY,injury_severity
hospitalized,INJURY,injury_severity
deceased at scene,INJURY,injury_severity
passenger injured,INJURY,injury_severity
driver injured,INJURY,injury_severity
pedestrian injured,INJURY,injury_severity
critical condition,INJURY,injury_severity
medical attention required,INJURY,injury_severity
no injuries reported,INJURY,injury_severity
traffic lights,TRAFFIC_TERM,traffic_context
stop sign,TRAFFIC_TERM,traffic_context
zebra crossing,TRAFFIC_TERM,traffic_context
roadblock,TRAFFIC_TERM,traffic_context
police report,TRAFFIC_TERM,traffic_context
traffic violation,TRAFFIC_TERM,traffic_context
speed limit,TRAFFIC_TERM,traffic_context
driving licence,TRAFFIC_TERM,traffic_context
vehicle inspection,TRAFFIC_TERM,traffic_context
unroadworthy vehicle,TRAFFIC_TERM,traffic_context
road traffic act,TRAFFIC_TERM,traffic_context
traffic congestion,TRAFFIC_TERM,traffic_context
traffic offense,TRAFFIC_TERM,traffic_context
driving under influence,TRAFFIC_TERM,traffic_context
DUI,TRAFFIC_TERM,traffic_context
